fragrance_id,name,season,year_of_creation,fragrance_family,fragrance_subfamily,is_discontinued,is_limited_edition,fragrantica_url,brand_name,brand_type,country_of_origin,market_position,top_notes,heart_notes,base_notes,main_accords,longevity_score,sillage_score,dosage,gender,era_cohort
471c67e9-cf13-4ed4-bd59-22c5490735ae,Vanilla & Tobacco Infusion,,,,,False,False,,Sangado,,,Prestige Artisanal,Spicy notes|Tobacco leaf,Cocoa|Tobacco flower|Tonka bean|Vanilla,Dried fruits|Woody notes,Fresh|Aromatic,9.3787,4.3764,,Women,
45e84cf2-ad6d-4513-a5b0-6261cfae2cd8,Vanilla & Tonka Bean,,2017.0,Amber,,False,False,https://www.fragrantica.com/perfume/The-Body-Shop/Vanilla-Tonka-Bean-66433.html,The Body Shop,,United Kingdom,Natural/Mass Market,Citrus|Fresh,Floral|Spicy,Musk|Woody,Fresh|vanilla|sweet|amber|Aromatic,5.6313,2.8562,,Unisex,2010s
387379fa-faeb-4bcd-95b0-4ea4d34de655,Vanilla & Woods,,2019.0,,,False,False,,Marks & Spencer,,Uk,Mass Prestige,Citrus|Fresh,Floral|Spicy,Musk|Woody,Fresh|Aromatic,8.9659,4.2833,,Women,2010s
73c8bf0a-7ab0-4b4d-9c02-1859cef070db,Vanilla (Mist),,,,,False,False,,Seventh Muse,,,Prestige Artisanal,Citrus|Fresh,Floral|Spicy,Musk|Woody,Fresh|Aromatic,5.4334,2.2143,,Women,
5e2af1ea-a8fe-4985-9cda-81fc44a36912,Vanilla + Sandalwood,,,,,False,False,,Henri Bendel,,,Prestige Artisanal,Clove|Peach|Plum,Iris|Rose,Amber|Leather|Patchouli|Sandalwood|Vanilla,Fresh|Aromatic,6.8026,2.4372,,Women,
e88a4e91-5c73-4567-9143-80deaf78ef9c,Vanilla - Apple,,,,,False,False,,Perlier,,,Prestige Artisanal,Citrus|Fresh,Floral|Spicy,Musk|Woody,Fresh|Aromatic,6.2722,4.1905,,Women,
4b0c2c48-28ca-452e-b040-3a7ce478f04d,Vanilla - Apricot,,,,,False,False,,Perlier,,,Prestige Artisanal,Citrus|Fresh,Floral|Spicy,Musk|Woody,Fresh|Aromatic,9.6617,2.7288,,Women,
159ddb06-c7ea-405e-a25f-0aa7239efd49,Vanilla - Coconut,,,,,False,False,,Deep Steep,,,Indie Artisan,Citrus|Fresh,Floral|Spicy,Musk|Woody,Fresh|Aromatic,9.0181,4.256,,Unisex,
8de56104-b22d-46d4-b4a2-b4c63b9dd903,Vanilla - Orange,,,,,False,False,,Perlier,,,Prestige Artisanal,Citrus|Fresh,Floral|Spicy,Musk|Woody,Fresh|Aromatic,6.0716,2.6627,,Women,
c2e45e4f-69de-4c7b-a0da-d5ce3430d7b9,Vanilla - Strawberry,,,Floral,,False,False,https://www.fragrantica.com/perfume/Perlier/Vanilla-Strawberry-27984.html,Perlier,,,Prestige Artisanal,Citrus|Fresh,Floral|Spicy,Musk|Woody,Fresh|vanilla|fruity|sweet|powdery|Aromatic,8.5,7.3,,Women,
